
# Surface 0 of 1 surfaces

# Curve title: ""pgf-graphs-01_contourtmp5.dat""

# Contour 0, label:      1.5
-0.500006 -0.286562 -1 
-0.666672 -0.235862 -1 
-0.833338 -0.183731 -1 
-1 -0.135331 -1 
-1.16667 -0.0943118 -1 
-1.33334 -0.062174 -1 
-1.5 -0.0387727 -1 
-1.66667 -0.0228724 -1 
-1.83333 -0.0127634 -1 
-2 -0.00673769 -1 


# Contour 6, label:     -1.5
 1.99998 -0.00289576 -1.5 
 1.83332 -0.00548566 -1.5 
 1.66665 -0.00983031 -1.5 
 1.49999 -0.0166633 -1.5 
 1.33332 -0.0267209 -1.5 
 1.16665 -0.0405329 -1.5 
 0.999988 -0.0581605 -1.5 
 0.833322 -0.0789468 -1.5 
 0.666656 -0.10137 -1.5 
 0.49999 -0.123125 -1.5 
 0.333324 -0.14147 -1.5 
 0.166658 -0.153781 -1.5 
-8.3e-06 -0.158131 -1.5 
-0.166674 -0.153781 -1.5 
-0.33334 -0.14147 -1.5 
-0.500006 -0.123123 -1.5 
-0.666672 -0.101366 -1.5 
-0.833338 -0.0789442 -1.5 
-1 -0.0581589 -1.5 
-1.16667 -0.0405307 -1.5 
-1.33334 -0.0267196 -1.5 
-1.5 -0.0166626 -1.5 
-1.66667 -0.00982967 -1.5 
-1.83333 -0.00548532 -1.5 
-2 -0.00289559 -1.5 

